Trait	Fold	Avg_Cor	SD	Heritability	Order	Trait_Type
PlantHeight	10	0.56144332402	0.013201255849416702	0.9388113181665506	3	Plant Architecture
EarDiameter	5	0.56460176362	0.019338200052083247	0.8095560241919194	4	Ear
TasselPrimaryBranches	2	0.56642429126	0.022246392370010255	0.9467311132382423	2	Tassel
LeafWidth	2	0.5711596745799999	0.02898446602086118	0.9311021557565554	5	Plant Architecture
EarDiameter	10	0.5736251774	0.013330156699182694	0.8095560241919194	4	Ear
TasselPrimaryBranches	5	0.59249008302	0.012792042404287253	0.9467311132382423	2	Tassel
TasselPrimaryBranches	10	0.5971912436	0.01103465885271323	0.9467311132382423	2	Tassel
LeafWidth	5	0.6039207737	0.016803319455967674	0.9311021557565554	5	Plant Architecture
LeafWidth	10	0.61407324862	0.010874282555796677	0.9311021557565554	5	Plant Architecture
UpperLeafAngle	2	0.62665259664	0.027189177661841007	0.9105186594694613	1	Plant Architecture
UpperLeafAngle	10	0.63641556244	0.009254762771871301	0.9105186594694613	1	Plant Architecture
EarHeight	2	0.63690506214	0.02594558252003714	0.9462328818801412	4	Plant Architecture
UpperLeafAngle	5	0.63937764256	0.014790292391378775	0.9105186594694613	1	Plant Architecture
EarHeight	5	0.66822294938	0.010964089809611213	0.9462328818801412	4	Plant Architecture
SouthernLeafBlight	2	0.67571206452	0.020514677235892443	0.8655063332765839	1	Other
EarHeight	10	0.6778785313	0.007537477470093205	0.9462328818801412	4	Plant Architecture
LeafLength	2	0.7088419755600001	0.017205828565169428	0.9553490831900122	6	Plant Architecture
SouthernLeafBlight	5	0.70999850288	0.011654167189787531	0.8655063332765839	1	Other
SouthernLeafBlight	10	0.71632575292	0.008884192329190794	0.8655063332765839	1	Other
LeafLength	5	0.73886259108	0.010632263345582961	0.9553490831900122	6	Plant Architecture
LeafLength	10	0.74380827602	0.00674224075303581	0.9553490831900122	6	Plant Architecture
GDDDaystoSilk	2	0.80265496092	0.013884587361850116	0.9611539084670445	2	Flowering
DaystoSilk	2	0.82977093376	0.01237994864609674	0.9701189973132712	1	Flowering
GDDDaystoSilk	5	0.83334037056	0.0076476614729817155	0.9611539084670445	2	Flowering
GDDDaystoTassel	2	0.83531380938	0.013323495011358724	0.9723682929584819	4	Flowering
GDDDaystoSilk	10	0.84180317596	0.003390766242186496	0.9611539084670445	2	Flowering
DaysToTassel	2	0.84917816	0.012288015753418485	0.9727328020352725	3	Flowering
DaystoSilk	5	0.85028972226	0.006430638546633567	0.9701189973132712	1	Flowering
DaystoSilk	10	0.85703478462	0.0035390444714875394	0.9701189973132712	1	Flowering
GDDDaystoTassel	5	0.86374880268	0.005492843816471702	0.9723682929584819	4	Flowering
GDDDaystoTassel	10	0.86942638286	0.004074960491010477	0.9723682929584819	4	Flowering
DaysToTassel	5	0.87309440936	0.005348756086908596	0.9727328020352725	3	Flowering
DaysToTassel	10	0.87822480848	0.00324794819733127	0.9727328020352725	3	Flowering
