Trait	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	StandCount	StandCount	StandCount	StandCount	StandCount	StandCount	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselBranchLength	Spikelets-MainSpike	Spikelets-MainSpike	Spikelets-PrimaryBranch	Spikelets-PrimaryBranch	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	TasselSterility	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	NumberofLeaves	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	UpperLeafAngle-BorderPlant	LeafWidth-BorderPlant	LeafSheathLength	TilleringIndex-BorderPlant	Phylotaxy	NumberofTilleringPlants	NumberofTilleringPlants	SizeofTillers	NR	NR	CS	GS	GLDH	AlaAT	AGPase	ShikDH	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIROil	NIROil	NIROil	NIROil	NIROil	NIROil	NorthernLeafBlight	NorthernLeafBlight(Percentage)	NorthernLeafBlight(Percentage)	NorthernLeafBlight-IncubationPeriod	SouthernLeafBlight	SouthernLeafBlight	SouthernLeafBlight	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	KernelFillPercentage	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	RowQuality	RowQuality	HerbicideSensitivity
IDS28	17	11	11	6	NaN	9	8	7	7	14	6	NaN	NaN	80	93	72.5	52	80	70	73	84	68	NaN	76	90	70	51	78	69	73	81	65	NaN	904.77389	866.9975	NaN	882.22111	788.331665	873.55278	879.44222	909.72111	908.331665	NaN	859.38	870.55278	824.884445	NaN	865.27389	759.163335	856.5	841.110555	909.72111	870.610555	NaN	55.8	34.22111	42.110555	NaN	16.94222	29.163335	17.05278	38.331665	0	37.72111	NaN	268	285.5	280	NaN	NaN	256	307	342	197	221.5	192.5	NaN	NaN	187	197	298	16	15	15	NaN	11	19	20	21	NaN	160	NaN	128	36	35	17	18	NaN	0	NaN	0	NaN	NaN	150	135	147.5	NaN	120	185	150	110	160	150	NaN	80	70	85	NaN	80	115	90	60	100	90	NaN	5	587	657	639	NaN	628	741	628	633	753	52	54	63	NaN	61	62	48	57	59	50	55	55	NaN	55	60	15	50	55	NaN	60	67.5	NaN	60	NaN	NaN	0	0.5	0	NaN	NaN	55	53	117	0	210	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.57	NaN	NaN	NaN	68.01	NaN	NaN	16.93	NaN	NaN	NaN	14.61	NaN	4.79	NaN	NaN	NaN	4.48	NaN	6	NaN	NaN	NaN	7	7.5	3	NaN	17	18.985	NaN	NaN	23	18.89	22	9	4.2	6.5	NaN	NaN	9.7	6	7.65	27	NaN	NaN	NaN	NaN	32	25.09	27	127	NaN	116.31	NaN	NaN	118	101.685	113	113	75	NaN	NaN	98	79.925	107	16	NaN	NaN	NaN	NaN	14	13	15.5	50	NaN	NaN	NaN	NaN	NaN	47	NaN	NaN	NaN	NaN	33	18.85	28	23	NaN	NaN	NaN	NaN	19.5	NaN	2.3	NaN	NaN	NaN	NaN	2.4	2.35	2	3	NaN
IDS69	5	1	8.5	2	NaN	1	6	6.5	7	13	6	NaN	NaN	81	107	75.5	59	83	71	73	86	67	NaN	80	107	74.5	58	80	70	71	84	65	NaN	964.80278	921.1922225	948.884445	997.22111	828.610555	891.884445	920	909.72111	895.134445	NaN	915.19	964.80278	902.9158325	913.05278	980.55278	788.331665	873.55278	879.44222	882.27389	870.610555	NaN	16.02	0	18.27389	35.831665	16.663335	40.27389	18.331665	40.55278	27.44222	24.52389	NaN	290	308	265	261	245	238	283	286	188.5	222	197.5	211	185	155	187	204	16	13	13.5	10	8	17	17	17	146	178	115	138	23	18	18	22	2	0	0	0	NaN	NaN	95	70	82.5	65	65	95	90	65	100	110	NaN	45	40	40	25	25	55	50	35	60	60	NaN	3	553	644	591.75	601	572	551	632	633	631	73	51	76	71	69	82	78	90	96	50	NaN	60	55	45	65	65	60	55	NaN	50	50	NaN	55	NaN	NaN	NaN	0.5	0	NaN	NaN	55	85	134	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.245	NaN	NaN	NaN	65.21	NaN	NaN	13.125	NaN	NaN	NaN	12.32	NaN	3.855	NaN	NaN	NaN	3.87	3	NaN	NaN	NaN	7.75	7.75	6.5	NaN	NaN	14.8225	NaN	14	NaN	17.495	24	NaN	NaN	6.01	NaN	2	NaN	7.375	8.3	NaN	NaN	NaN	NaN	23	NaN	26.385	29	NaN	NaN	126.2	NaN	84	NaN	126.74	149	NaN	NaN	NaN	82	NaN	123.06	145	NaN	NaN	11	NaN	8	NaN	13	12	NaN	NaN	NaN	NaN	10	NaN	NaN	NaN	NaN	NaN	12	NaN	36.655	43	NaN	NaN	NaN	NaN	15	27	NaN	NaN	NaN	NaN	2.2	NaN	2.31	2.4	3	3	NaN
IDS91	13	3	8.5	6	NaN	9	7	5.5	5	11	7	NaN	NaN	75	94	72	55	79	68	74	80	63	NaN	75	92	69	52	77	67	70	77	62	NaN	913.634445	858.4541675	867.5	931.110555	772.5	839	854.163335	924.30278	829.72111	NaN	848.05	896.413335	811.6922225	815.27389	882.22111	748.331665	821.25	815	868.69222	810.384445	NaN	0	17.22111	46.761945	52.22111	48.884445	24.163335	17.75	39.163335	55.610555	19.331665	NaN	348	328	326	209	288.5	307	369	316	209.5	249	208	119	202	194	255	249	16.5	10	14	11	13	19	14	12	210	190	180	186	19	28	26	25	1	0	0	1	NaN	NaN	95	75	75	70	105	105	150	70	NaN	115	NaN	40	35	30	35	50	60	65	35	NaN	55	NaN	5	636	629	617	588	728	673	793	740	811	84	59	69.75	69	54	82	79	81	73	55	50	35	15	NaN	55	40	40	45	NaN	32.5	67.5	NaN	37.5	NaN	NaN	NaN	0	0	1	NaN	55	84	134	1	225	1	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.99	64.04	60.36	NaN	64.23	NaN	NaN	12.95	13.76	15.2	NaN	14.25	NaN	3.8	3.77	3.58	NaN	3.81	NaN	3	NaN	NaN	NaN	7.25	7.25	NaN	17	NaN	NaN	17.715	17	22	20.065	26.5	6.3	NaN	NaN	4.35	3.8	13	10.6	9.85	24	28	NaN	22.33	24	29	27.12	28.5	102	132	NaN	98.51	98	134	130.595	141	91	63	96.995	69	125	123.035	130.5	12	14	NaN	10	10	14	13	14	20	NaN	NaN	22.5	10	60	21	27	NaN	21.6	15	51	27.3	38	19	12	NaN	22	12	28	NaN	NaN	NaN	2.25	2	2.7	1.75	1.9	2	2	NaN
Il101	9	3	11	5	NaN	3	1	7.5	4	5	6	NaN	NaN	74	85	62.5	51	87	62	72	76	60	NaN	74	83	61	51	70	62	71	75	57	NaN	793.884445	720.6633325	874.44222	865.27389	NaN	751.97111	NaN	895.52389	773.72111	NaN	835.86	765	695.483055	789.163335	865.27389	NaN	751.97111	NaN	882.27389	724.44222	NaN	0	28.884445	25.17778	85.27389	0	NaN	0	NaN	13.25	49.27389	NaN	352	388	378	NaN	416	339	376	390	286	261	264	NaN	312	217	267	317	8	11	7	NaN	11	11	9	9	NaN	240	NaN	218	15	20	11	17	NaN	3	NaN	3	NaN	NaN	90	110	105	55	115	70	150	70	NaN	125	NaN	25	15	27.5	10	30	NaN	20	10	NaN	35	NaN	4.5	563	676	599.75	NaN	788	NaN	571	650	766	38	50	42.5	NaN	54	NaN	48	42	51	52.5	60	65	50	70	55	55	65	70	NaN	NaN	47.5	NaN	NaN	NaN	NaN	NaN	1	1	3	NaN	NaN	NaN	132	0	255	0	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.41	NaN	NaN	NaN	NaN	NaN	NaN	16.63	NaN	NaN	NaN	NaN	NaN	5.65	NaN	NaN	NaN	NaN	5	NaN	NaN	NaN	NaN	7	4	NaN	NaN	19.64	NaN	21	NaN	20.465	24	NaN	NaN	7.255	NaN	6.3	NaN	8.6	10.1	NaN	NaN	NaN	NaN	26	NaN	NaN	34	NaN	NaN	108.4175	NaN	102	NaN	120.96	129	NaN	NaN	NaN	NaN	NaN	NaN	116	NaN	NaN	11	NaN	NaN	NaN	11	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.3	3	4	NaN
Il14H	14	5	10.5	4	NaN	1	4	7	8	11	7	NaN	NaN	74	85	66.5	48	75	63	71	NaN	68	NaN	74	83	65.5	48	72	63	69	NaN	66	NaN	793.884445	781.608055	843.884445	813.05278	724.163335	766.360555	841.110555	882.27389	908.331665	NaN	835.86	765	770.2763875	829.163335	813.05278	684.72111	766.360555	815	855.134445	883.413335	NaN	0	28.884445	11.3316675	14.72111	0	39.44222	0	26.110555	27.134445	24.913335	NaN	365	415	377	NaN	351	333	419	451	230.5	252.5	227.5	NaN	218.6666667	174	275	339	11	12	10.5	NaN	13	17	11	9	274	286	204	196	18	15	12	13	1	1	2	1	NaN	NaN	140	145	157.5	80	165	165	170	115	165	165	NaN	50	45	57.5	20	60	45	70	30	60	70	NaN	3	761	582	781.75	564	805	821.5	887	778	785	84	67	81.25	61	63	77.5	76	76	63	57.5	40	45	5	NaN	45	25	40	30	NaN	35	37.5	NaN	35	NaN	NaN	0	0.5	1	NaN	NaN	50	74	151	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.68	NaN	NaN	NaN	62.09	63.45	NaN	19.02	NaN	NaN	NaN	16.75	15.82	7	NaN	NaN	NaN	6.56	5.49	5	NaN	NaN	NaN	6.5	7	6.5	21	22	24.685	NaN	NaN	NaN	24.105	NaN	5.3	11.7	8.955	NaN	8	NaN	9.915	NaN	29	36	NaN	NaN	31	NaN	34.115	NaN	97	120	119.525	NaN	106	NaN	115.46	NaN	89	NaN	NaN	72	NaN	97.525	NaN	12	10	12.5	NaN	10	NaN	11	NaN	50	60	NaN	NaN	305	100	36.6	49	NaN	NaN	17	NaN	33.645	NaN	24	NaN	NaN	NaN	NaN	17.5	NaN	8.6	NaN	NaN	NaN	NaN	4.72	NaN	1	2	NaN
Il677a	0	0	5	1	NaN	0	0	4.5	NaN	2	5	NaN	NaN	NaN	NaN	80.5	NaN	92	69	NaN	NaN	NaN	NaN	NaN	NaN	73.5	NaN	83	68	NaN	NaN	NaN	NaN	NaN	1010.358055	948.884445	NaN	NaN	856.5	NaN	NaN	NaN	NaN	NaN	NaN	885.2475	913.05278	NaN	NaN	839	NaN	NaN	NaN	NaN	NaN	NaN	125.110555	35.831665	NaN	NaN	17.5	NaN	NaN	NaN	NaN	NaN	NaN	285	261	NaN	258	NaN	NaN	NaN	NaN	160.5	141	NaN	146	NaN	NaN	NaN	NaN	18	10	NaN	10	NaN	NaN	NaN	NaN	NaN	134	0	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	112.5	95	NaN	130	125	NaN	NaN	NaN	NaN	NaN	NaN	40	30	NaN	55	55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	532	547	NaN	598	430	NaN	NaN	NaN	NaN	79	71	NaN	63	65	NaN	NaN	NaN	NaN	37.5	5	NaN	NaN	25	NaN	NaN	NaN	NaN	55	NaN	NaN	NaN	NaN	NaN	0.5	0	NaN	NaN	35	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.6	NaN	NaN	NaN	NaN	NaN	NaN	13.31	NaN	NaN	NaN	NaN	NaN	5.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	5	NaN	NaN	NaN	25.73	25.04	NaN	NaN	25.18	NaN	NaN	NaN	NaN	9.8	NaN	NaN	13	NaN	NaN	NaN	33.68	35.05	NaN	NaN	37.015	NaN	NaN	NaN	109.17	104.29	NaN	NaN	152.36	NaN	NaN	NaN	100.62	NaN	NaN	143.345	NaN	NaN	NaN	NaN	13	NaN	NaN	14	NaN	NaN	NaN	NaN	25	NaN	NaN	NaN	NaN	NaN	27.5	NaN	NaN	57.2	NaN	NaN	NaN	15	17	NaN	26	NaN	NaN	NaN	4.9	NaN	NaN	4.05	NaN	NaN	NaN	NaN
K148	5	4	8.5	5	NaN	3	8	6.5	9	11	8	NaN	NaN	82	97	74.5	58	86	74	80	NaN	70	NaN	81	93	72.5	55	80	71	75	NaN	66	NaN	936.94222	903.4277775	962.22111	980.55278	870.27389	944.05278	963.884445	1020.581665	939.44222	NaN	931.22	904.77389	869.0672225	880.27389	931.110555	788.331665	891.884445	854.163335	937.97111	883.413335	NaN	16.8	32.163335	34.360555	81.94222	49.44222	81.94222	52.163335	109.72111	82.610555	56.02389	NaN	317	339	308.5	256	NaN	297	364	339	201	234	202.5	160	NaN	156	272	205	19	10.5	10.5	11	13	16	9	20	NaN	198	NaN	158	NaN	19	NaN	11	NaN	0	NaN	2	NaN	NaN	125	120	145	90	140	185	175	125	145	150	NaN	45	25	45	35	55	75	65	30	70	60	NaN	4.5	723	676	761.75	639	638	803	833	746	856	76	58	68	68	66	72	77	82	86	77.5	75	75	55	70	75	75	70	80	NaN	82.5	70	NaN	70	NaN	NaN	NaN	0.5	0	NaN	NaN	70	64	174	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.43	65	65.61	69.46	65.42	66.01	NaN	17.29	15.58	15.3	13.79	15.47	15.85	4.59	2.83	4.48	3.97	4.68	3.59	3	NaN	NaN	NaN	7.75	7.25	4.5	27	NaN	21.73	18.47	24	24	24.81	27	75	NaN	14.4775	6.8	16	9.6	25.495	17.9	40	NaN	29.945	29.68	NaN	34	40.11	38.5	113	NaN	131.095	73.9	NaN	92	157.045	119.5	108	NaN	63.9	NaN	77	145.975	115	13	NaN	NaN	10	NaN	12	13	11	40	NaN	NaN	NaN	30	NaN	45	NaN	NaN	NaN	NaN	30	99.94	67.5	16	NaN	NaN	11	NaN	33	NaN	NaN	NaN	NaN	4.4	3.8	4.49	4	2	3	NaN
K4	11	9	10.5	6	NaN	8	7	6.5	8	13	5	NaN	NaN	87	NaN	80	57	94	78	87	92	72	NaN	84	107	78	57	91	78	77	89	71	NaN	NaN	996.261945	976.663335	964.44222	961.110555	1002.75	NaN	NaN	975.94222	NaN	982.77	964.80278	963.3172225	925.55278	964.44222	930.831665	1002.75	920	NaN	958.47111	NaN	55.94	NaN	32.9422225	51.110555	0	30.27389	0	NaN	NaN	17.47111	NaN	336	338	353.5	279	313.5	324	330	420	218	239	241	209	215.5	205	224	258	16	17	13	10	17	15	21	9	NaN	224	224	169	NaN	29	NaN	25	NaN	0	1	1	NaN	NaN	155	140	145	105	150	170	130	80	165	185	NaN	90	60	72.5	50	75	100	60	NaN	90	115	NaN	4	701	730	699.25	635	820	741	666	782	799	106	88	91	93	97	111	94	116	122	35	70	70	55	70	75	70	NaN	75	NaN	70	67.5	NaN	70	NaN	NaN	0	0	1	NaN	NaN	80	107	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.32	66.33	65.39	68.44	65.92	NaN	NaN	13.265	14.55	14.59	12.48	13.71	NaN	4.73	5.87	6.24	4.65	6.22	3	NaN	NaN	NaN	7	7.75	2.5	23	NaN	NaN	NaN	25	25	21.975	26	15	NaN	NaN	NaN	16.7	10.1	20.19	18.4	39	NaN	NaN	NaN	39	39	35.235	39.5	142	NaN	NaN	NaN	145	106	176.53	161.5	123	NaN	NaN	124	102	158.48	148.5	13	NaN	NaN	NaN	14	12	14	16	80	NaN	NaN	NaN	90	NaN	73	NaN	NaN	NaN	79	73	98.05	107.5	23	NaN	NaN	NaN	27	46	NaN	NaN	NaN	NaN	4.3	4.2	3.2	3.5	1	2	NaN
K55	12	4	10.5	6	NaN	3	5	6.5	9	13	7	NaN	NaN	84	107	74	54	80	71	75	89	65	NaN	82	101	73.5	55	78	71	71	88	64	NaN	964.80278	894.6922225	913.05278	914.163335	788.331665	891.884445	904.72111	937.97111	870.610555	NaN	948.02	964.80278	885.5552775	874.44222	931.110555	759.163335	891.884445	891.663335	882.27389	850.360555	NaN	34.75	0	9.136945	38.610555	-16.94222	29.163335	0	13.05278	55.69222	20.25	NaN	290.5	238.5	299	267	256	268	293	318	210.5	187	207.5	184	159	178	214	236	13	8.5	17	13	16	11	13	17	168	156	NaN	141	33	36	15	13	2	1	NaN	3	NaN	1	115	110	115	95	140	150	130	85	130	115	NaN	45	35	55	35	65	67.5	75	NaN	60	55	NaN	5	595	656	695	655	586	740	718	669	692	93	70	76.25	63	75	74	82	72	105	70	65	57.5	45	70	45	50	60	70	NaN	65	82.5	NaN	60	NaN	NaN	0	0	0	NaN	NaN	35	NaN	124	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.25	66.92	66.14	NaN	65.49	NaN	NaN	14.44	18.53	13.59	NaN	15.12	NaN	4.7	4.32	6.09	NaN	4.65	3	NaN	NaN	NaN	6.25	6.25	3	NaN	NaN	27.3925	26.51	NaN	34	29.745	33	NaN	NaN	11.045	9.95	NaN	17.4	28.05	16.7	NaN	NaN	36.81	36.995	NaN	43	41.165	42	NaN	NaN	101.5675	62.415	NaN	98	153.73	129	NaN	NaN	53.385	NaN	93	142.415	90	NaN	NaN	14	12.5	NaN	16	14	16	NaN	NaN	43.75	25	NaN	NaN	NaN	NaN	40.1725	33.15	NaN	78	110.35	46	NaN	NaN	14.75	10	NaN	24	NaN	NaN	4.3775	5.6	NaN	5.1	6.2	3.5	2	3	NaN
K64	16	9	12	6	NaN	10	6	6.5	3	12	8	NaN	NaN	88	94	80	60	89	75	78	93	81	NaN	85	94	78.5	61	85	74	78	92	81	NaN	913.634445	1001.593613	962.22111	1014.163335	904.163335	956.884445	1051.94222	987.134445	1140.110555	NaN	1000.94	913.634445	974.636945	936.94222	1028.331665	856.384445	944.05278	1017.77389	987.134445	1140.110555	NaN	53.19	0	26.9566675	25.27389	-14.163335	47.77389	12.831665	34.163335	0	0	NaN	322	370	347	260	NaN	291	363	345	248	289	278.5	197	NaN	195	267	259	10	12	8.5	8	10	12	13	15	NaN	208	NaN	208	24	16	17	14	NaN	1	NaN	2	2	NaN	150	170	150	95	135	175	150	80	170	165	NaN	75	80	82.5	35	60	115	70	NaN	90	95	NaN	5	697	905	769.75	684	759	844	678	844	962.5	83	88	81	68	79	76	73	100	80	62.5	60	72.5	50	40	65	60	70	NaN	NaN	67.5	65	NaN	60	NaN	NaN	NaN	0.5	0	NaN	NaN	50	76	NaN	0	225	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.68	66.515	72.19	NaN	69.85	68.19	NaN	10.7	13.415	10.64	NaN	11.9	12.01	2.99	4.665	4.34	NaN	4.37	4.51	3	NaN	NaN	NaN	7.75	7.75	NaN	33	31	NaN	25.12	31	33	26.63	29.5	25	24.05	NaN	6	22.4	13.3	21	17.65	NaN	47	NaN	34.21	NaN	46	43.08	22.5	NaN	173	NaN	62.22	151	132	134.115	130	NaN	156	57.96	126	92	120.19	126	14	14	NaN	12	12	16	14	14	130	125	NaN	25	50	NaN	NaN	114.5	NaN	32	53	55	95.2	88.5	29	28	NaN	9	21	26.5	NaN	6	NaN	6.8	6.1	3.1	5.35	4.5	1	2	NaN
Ki11	0	8	9.5	6	NaN	1	6	6	6	8	6	NaN	NaN	NaN	121	87.5	60	106	81	NaN	NaN	84	NaN	NaN	119	86	60	101	79	87	NaN	83	NaN	964.80278	1125.067223	962.22111	1014.163335	1005.27389	1055.77389	879.44222	NaN	1196.72111	NaN	NaN	964.80278	1065.384445	925.55278	1014.163335	1005.27389	1020.77389	866.663335	1144.05278	1178.634445	NaN	NaN	0	15.75	36.663335	0	0	35	12.77389	NaN	18.081665	NaN	NaN	336	NaN	274	NaN	345	388	421	NaN	272	NaN	241	NaN	278	283	300	NaN	11	NaN	2	9	7	14	13	NaN	242	NaN	276	0	18	0	14	NaN	2	NaN	1	2	NaN	NaN	155	147.5	85	140	NaN	145	85	140	155	NaN	NaN	90	85	40	75	NaN	70	35	95	75	NaN	3.5	NaN	941	884	803	905	902	918	NaN	887	NaN	116	102	88	106	81	118	NaN	84	NaN	75	NaN	55	65	NaN	80	NaN	NaN	NaN	75	NaN	NaN	50	NaN	NaN	NaN	0	1	NaN	NaN	NaN	NaN	137	0	235	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.93	65.65	NaN	NaN	NaN	NaN	NaN	15.33	14.36	NaN	NaN	NaN	NaN	4.84	4.65	NaN	NaN	NaN	4	NaN	NaN	NaN	8.5	8	6	NaN	32	28.7675	27.53	34	NaN	31.83	32.5	NaN	21.7	20.755	11.5	34.8	NaN	39.65	17.45	NaN	41	NaN	35.78	47	NaN	41.79	36.5	NaN	143	134.705	92.14	138	NaN	171.41	135	NaN	120	83.035	116	NaN	147.45	113.5	NaN	12	NaN	13	14	NaN	13	NaN	NaN	60	NaN	37.5	100	NaN	NaN	52	NaN	33.2	118	NaN	91.95	25.5	NaN	24	NaN	18	21	27.5	NaN	3.2	NaN	2.75	6.3	NaN	4.5	3.3	1	2	NaN
Ki14	0	6	11	6	NaN	2	7	7	8	10	7	NaN	NaN	NaN	NaN	105.5	63	NaN	96	NaN	NaN	88	NaN	NaN	NaN	91	61	108	86	NaN	NaN	81	NaN	NaN	NaN	990.27389	1059.163335	NaN	1285.360555	989.72111	NaN	NaN	NaN	NaN	NaN	NaN	925.55278	1028.331665	1005.27389	1124.69222	951.94222	NaN	1140.110555	NaN	NaN	NaN	NaN	64.72111	30.831665	NaN	160.663335	37.77389	NaN	NaN	NaN	NaN	321	NaN	297	356.5	349	434	438	NaN	169	NaN	193	216.5	214	232	267	NaN	18	NaN	9	12.5	18	19	16	NaN	178	193	218	0	35	0	23	NaN	7	8	8	12	NaN	NaN	NaN	190	90	155	NaN	200	120	185	180	NaN	NaN	NaN	115	45	75	NaN	110	60	85	125	NaN	4	NaN	827	926.6666667	692	772	861	852	NaN	740	NaN	100	106.3333333	84	89	102	110	NaN	79	NaN	NaN	NaN	25	45	NaN	80	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.5	1	NaN	NaN	NaN	NaN	132	0	207.5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.79	NaN	NaN	NaN	NaN	NaN	NaN	13.97	NaN	NaN	NaN	NaN	NaN	5.62	NaN	NaN	3	NaN	NaN	NaN	8.75	8.25	8.5	NaN	NaN	NaN	21.07	27	NaN	NaN	NaN	NaN	NaN	NaN	5.9	18.2	NaN	NaN	NaN	NaN	NaN	NaN	29.58	42	NaN	NaN	NaN	NaN	NaN	NaN	78.365	140	NaN	NaN	NaN	NaN	NaN	73.4	111	NaN	NaN	NaN	NaN	NaN	NaN	11	12	NaN	NaN	NaN	NaN	NaN	NaN	27.5	70	NaN	NaN	NaN	NaN	24	70	NaN	NaN	NaN	NaN	NaN	NaN	14	18	NaN	NaN	NaN	NaN	3.15	5.5	NaN	NaN	NaN	2	2	NaN
